iter,elapsed_s,global_best_len,iter_best_len,iter_mean_len,iter_worst_len
209,3.99737,33948.4,37007.9,44355.8,54997.9
210,4.01615,33948.4,35882.8,43298,54856.7
211,4.03483,33948.4,35503.8,43395.2,54353.8
212,4.05339,33948.4,36968.6,43781.4,52720.3
213,4.07234,33948.4,36999.8,44323.9,56267.8
214,4.09109,33948.4,36969.4,44441.8,54138.7
215,4.10999,33948.4,35999.6,43707,53471.1
216,4.12849,33948.4,36250.9,44265.2,56196.4
217,4.14727,33948.4,36165.6,44233.8,57491.3
218,4.16638,33948.4,36968,44185.2,56133.1
219,4.18516,33948.4,37206.6,44424.6,53903.6
220,4.20397,33948.4,36643.1,43782.5,53247.6
221,4.22291,33948.4,37737.2,44177.7,53716.9
222,4.24156,33948.4,36839.6,43808.4,54314.5
223,4.26039,33948.4,36748.4,43861.7,50369.6
224,4.27917,33948.4,35737.1,43594.3,53806.6
225,4.2981,33948.4,36477.3,43736.3,53102
226,4.31689,33948.4,36398.3,44133.1,60175.6
227,4.33583,33948.4,35942.4,44245.8,52720.8
228,4.35475,33948.4,36174.7,43726.9,53495
229,4.37333,33948.4,36963.8,44021,53555.7
230,4.39237,33948.4,35797.3,43979.7,55052.4
231,4.41133,33948.4,36492.5,44001.1,54369.5
232,4.42999,33948.4,37197.1,43853.8,58177.2
233,4.44876,33948.4,36013,43781.4,52463.9
234,4.46782,33948.4,36031.8,43757.3,53762.4
235,4.48676,33948.4,37178,43945.4,52651.7
236,4.50566,33948.4,36721.1,44024.9,52698.3
237,4.52485,33948.4,37162.5,44193.7,59355.8
238,4.54377,33948.4,35878.7,43972.6,54230.9
239,4.5625,33948.4,34658.8,43050.3,51163.6
240,4.58128,33948.4,36933.2,43848.1,52339.3
241,4.60055,33948.4,36067,44020.4,54121
242,4.61933,33948.4,37063.8,43613.3,52269.6
243,4.63772,33948.4,34789.5,43702.4,53709.6
244,4.65651,33948.4,36139.5,43733.7,54923.9
245,4.67512,33948.4,36383.3,43644.1,52110.4
246,4.69388,33948.4,37147.4,43859.7,51664.1
247,4.71232,33948.4,37553.7,44170.1,52149.1
248,4.73084,33948.4,37107.7,43397.6,54436.6
249,4.74967,33948.4,37698.8,43962.2,51475.1
250,4.76821,33948.4,36742.4,43630.2,57695.5
251,4.78673,33948.4,35604.8,44102.7,55278.5
252,4.8054,33948.4,36682.8,43774.3,54829.4
253,4.82401,33948.4,36713.2,44018.2,52957.8
254,4.84262,33948.4,36893.4,43802.2,54031.7
255,4.86144,33948.4,36333.7,43639,53779.3
256,4.88014,33948.4,36945.9,43711.8,54159.1
257,4.8987,33948.4,36463.7,43991.4,55496.5
258,4.9175,33948.4,36660.9,43694.5,56060.4
259,4.93612,33948.4,35183.1,43581.9,51148.2
260,4.95517,33948.4,36801.5,43936.5,52297.4
261,4.97373,33948.4,36554.7,43897,56130.3
262,4.99264,33948.4,35978.7,43527.1,53272.6
263,5.01165,33948.4,36525.5,43736.7,55818.6
264,5.03041,33948.4,35983.8,44076.7,52951.2
265,5.04916,33948.4,36195.2,43448.2,52113.1
266,5.06802,33948.4,37478.2,43696.9,53886.3
267,5.08696,33948.4,37373.2,44049.6,56298.9
268,5.10564,33948.4,36574.9,43984,55245.9
269,5.12395,33948.4,35795.9,43757.5,53286.5
270,5.14261,33948.4,37010.7,44138.7,52264.7
271,5.16155,33948.4,36064.2,44207.2,55246
272,5.18023,33948.4,38052.6,43966,56684.9
273,5.19893,33948.4,36324.8,43469,54967.4
274,5.2176,33948.4,36808.2,43909.9,54037.3
275,5.23633,33948.4,36216.1,43872.5,54509.5
276,5.25492,33948.4,36515,44009.2,54855.2
277,5.27366,33948.4,34949.8,43863.7,53569.8
278,5.29221,33948.4,37440.1,43640.8,51667.4
279,5.31071,33948.4,36531.3,43427.7,54466.4
280,5.33,33948.4,36462.9,44103.3,53537.5
281,5.34862,33948.4,36598.2,43702.5,55842.7
282,5.36739,33948.4,37022.9,43798.3,55202.4
283,5.38643,33948.4,35757.7,43594.6,52729.6
284,5.40538,33948.4,37022.1,43927.1,53185.9
285,5.42411,33948.4,37196.7,43875.4,59769
286,5.443,33948.4,36101.8,43918.7,54058.5
287,5.46239,33948.4,35843.3,44100.9,53465
288,5.48116,33948.4,36843.2,44077.1,53360.7
289,5.50005,33948.4,36619.5,43836.9,57417.5
290,5.51886,33948.4,36500,44411.8,53921.8
291,5.53743,33948.4,37074.5,43841.1,53918.3
292,5.55621,33948.4,35710.4,44087.2,55393.9
293,5.57523,33948.4,37107,44085.8,54409.1
294,5.594,33948.4,36348.5,43987,53833.6
295,5.61284,33948.4,37118.6,44700,54598.3
296,5.63147,33948.4,35655.8,44076.2,54788.5
297,5.65104,33948.4,36734,44119,54606.3
298,5.66996,33948.4,36708.9,44446.4,57798.5
299,5.68885,33948.4,37366.1,44232.1,63173.2
300,5.70787,33948.4,37154,44653.7,53702.6
301,5.72667,33948.4,37593.9,44149.6,54296.8
302,5.74615,33948.4,38084.5,44458.2,57554.4
303,5.76501,33948.4,36844.3,43995.2,54031.8
304,5.78418,33948.4,36278.9,44545.6,54256.9
305,5.80302,33948.4,37727.8,44208.7,53658
306,5.82189,33948.4,36001,44369,55919.7
307,5.84103,33948.4,37878.6,44389.5,53637.2
308,5.86044,33948.4,36254.7,44777.7,53408.9
309,5.87976,33948.4,37713.6,44574.8,55807.7
310,5.89857,33948.4,37731.4,44640.1,56429.5
311,5.91816,33948.4,36757.2,43906.9,53349.3
312,5.93708,33948.4,37429,44118.2,54241.4
313,5.95594,33948.4,36941.2,44165.3,53665.7
314,5.97488,33948.4,37990,44119.2,55787.1
315,5.99364,33948.4,35052,44080.8,53996.5
316,6.01263,33948.4,35966.6,44118.7,53770.8
317,6.03144,33948.4,38221.6,44201,52802.8
318,6.05026,33948.4,36106.4,44247.9,52681.1
319,6.06915,33948.4,36706.7,43989.9,52071.2
320,6.08808,33948.4,36568.6,43773.8,54956.7
321,6.107,33948.4,35835.3,43949.7,53108.8
322,6.12579,33948.4,37085.1,44300.5,58508.6
323,6.14453,33948.4,37863.3,44141.6,52521.5
324,6.16366,33948.4,36320.9,44344.7,52697
325,6.18247,33948.4,37802.3,44319.2,53782
326,6.20161,33948.4,36973.5,44178.4,55786.2
327,6.22054,33948.4,37172.5,44125.6,54428.8
328,6.23949,33948.4,36257.9,44003.9,55437.1
329,6.25836,33948.4,36054.9,44271.6,57937.7
330,6.27706,33948.4,37521.8,43575,53659
331,6.29598,33948.4,37415.3,44302.2,53660.1
332,6.31478,33948.4,36787,43787.1,51418.9
333,6.33385,33948.4,36645.9,44178,58008.3
334,6.35278,33948.4,36877.1,44301.7,54947.6
335,6.37156,33948.4,36923.4,43814.8,57930.5
336,6.39041,33948.4,35915.5,43699.8,52966.5
337,6.40915,33948.4,36625.9,44103.4,53497.3
338,6.4279,33948.4,36657.2,43729.6,54236.3
339,6.44664,33948.4,36433.5,43977,55246.4
